,name,target_speed,collision,min_distance,stopped,brake_reaction_time,result
0,False Positive - Empty Road,30.0,False,inf,False,,PASS (Timeout)
1,Lead Vehicle Braking (Start Dist 10m),40.0,False,6.685125827789307,True,0.23714637756347656,PASS (Stopped)
2,Lead Vehicle Braking (Start Dist 10m),20.0,False,10.235480308532715,True,0.3095128536224365,PASS (Stopped)
3,Lead Vehicle Braking (Start Dist 20m),80.0,False,7.6399359703063965,True,0.23678851127624512,PASS (Stopped)
4,Lead Vehicle Braking (Start Dist 15m),50.0,False,7.4689412117004395,True,0.24355721473693848,PASS (Stopped)
5,Lead Vehicle Braking (Start Dist 25m),100.0,True,4.662685871124268,True,0.552990198135376,FAIL (Collision)
6,Stationary Car @ 10m,10.0,False,7.47996711730957,True,0.23005151748657227,PASS (Stopped)
7,Stationary Car @ 20m,20.0,False,10.231832504272461,True,0.23285865783691406,PASS (Stopped)
8,Stationary Car @ 30m,50.0,True,4.5810866355896,True,0.2341156005859375,FAIL (Collision)
9,Stationary Car @ 40m,40.0,True,4.610178470611572,True,0.23697662353515625,FAIL (Collision)
10,Stationary Car @ 50m,50.0,False,13.372705459594727,True,0.38715052604675293,PASS (Stopped)
11,Stationary Car @ 30m,50.0,False,10.811260223388672,True,0.23166227340698242,PASS (Stopped)
12,Stationary Car @ 40m,60.0,True,4.5330352783203125,True,0.23300457000732422,FAIL (Collision)
13,Stationary Car @ 80m,70.0,False,9.900849342346191,True,0.525935173034668,PASS (Stopped)
14,Stationary Car @ 100m,90.0,False,9.316475868225098,True,0.9999105930328369,PASS (Stopped)
15,Stationary Car @ 60m,100.0,True,4.507951736450195,True,0.3210728168487549,FAIL (Collision)
16,Stationary Car @ 120m,120.0,True,4.615744590759277,True,1.590867042541504,FAIL (Collision)
17,"Suicidal Homing Pedestrian (Trigger 40m, Stop @ 2.5m)",40.0,False,4.103869915008545,True,2.0131983757019043,PASS (Stopped)
18,"Suicidal Homing Pedestrian (Trigger 15m, Stop @ 2.5m)",20.0,False,3.808184862136841,True,0.23621201515197754,PASS (Stopped)
19,"Suicidal Homing Pedestrian (Trigger 25m, Stop @ 2.5m)",60.0,False,1.5189687013626099,False,0.7355706691741943,PASS (Timeout)
20,Pedestrian Crossing (Trigger 12.0m),30.0,False,4.647080421447754,True,0.9571387767791748,PASS (Stopped)
21,Pedestrian Crossing (Trigger 20.0m),30.0,False,6.334808349609375,False,0.6606252193450928,PASS (Timeout)
22,Pedestrian Crossing (Trigger 10.0m),30.0,True,2.3605704307556152,False,0.6815075874328613,FAIL (Collision)
23,Pedestrian Crossing (Trigger 15.0m),30.0,False,4.935168266296387,False,0.6809709072113037,PASS (Timeout)
24,Pedestrian Crossing (Trigger 17.0m),30.0,False,4.8202972412109375,False,0.585808515548706,PASS (Timeout)
25,Obstructed Pedestrian (Trigger 10.0m),20.0,True,1.474715232849121,False,0.5380887985229492,FAIL (Collision)
26,Obstructed Pedestrian (Trigger 12.0m),30.0,True,1.5057264566421509,False,0.6851603984832764,FAIL (Collision)
27,Obstructed Pedestrian (Trigger 15.0m),30.0,False,4.158431529998779,True,0.6837003231048584,PASS (Stopped)
28,Obstructed Pedestrian (Trigger 18.0m),50.0,True,1.5218863487243652,False,,FAIL (Collision)
29,"Oncoming Traffic (Offset 3.5m, 40km/h)",40.0,False,3.494605302810669,False,0.6785943508148193,PASS (Timeout)
30,"Oncoming Traffic (Offset 3.5m, 60km/h)",60.0,False,3.5134358406066895,False,0.8329997062683105,PASS (Timeout)
31,"Oncoming Traffic (Offset 1.5m, 30km/h)",30.0,True,4.686100959777832,True,0.5901010036468506,FAIL (Collision)
32,"Oncoming Traffic (Offset 1.0m, 60km/h)",60.0,True,4.746413230895996,True,0.5782694816589355,FAIL (Collision)
