==================================================
RAPORT KOŃCOWY
==================================================
                                                      name            result  min_distance  brake_reaction_time  stopped
37                    Cut-In (StartDist 5.0m, Offset 3.5m)    PASS (Stopped)      6.150939             0.593865     True
38                   Cut-In (StartDist 10.0m, Offset 3.5m)    PASS (Stopped)      9.233401             0.630998     True
39                Obstacle on Curve (Dist 40.0m, 30.0km/h)    PASS (Stopped)      7.678090             0.782527     True
40                Obstacle on Curve (Dist 60.0m, 50.0km/h)  FAIL (Collision)      4.204792             1.312069     True
41                Obstacle on Curve (Dist 25.0m, 30.0km/h)  FAIL (Collision)      4.159712             0.771881     True
42                Obstacle on Curve (Dist 60.0m, 30.0km/h)    PASS (Stopped)      6.773157             0.618948     True
43                             False Positive - Empty Road    PASS (Timeout)           inf             4.295791    False
44                   Lead Vehicle Braking (Start Dist 10m)    PASS (Timeout)     10.629822             0.221220    False
45                   Lead Vehicle Braking (Start Dist 10m)    PASS (Stopped)     10.373436             0.194709     True
46                   Lead Vehicle Braking (Start Dist 20m)  FAIL (Collision)      4.589258             0.214730     True
47                   Lead Vehicle Braking (Start Dist 15m)  FAIL (Collision)      4.614013             0.323728     True
48                   Lead Vehicle Braking (Start Dist 25m)  FAIL (Collision)      4.820573             0.592015     True
49                                    Stationary Car @ 10m    PASS (Stopped)      7.149588             0.223718     True
50                                    Stationary Car @ 20m    PASS (Stopped)      7.722651             0.225706     True
51                                    Stationary Car @ 30m    PASS (Stopped)     11.472493             0.223448     True
52                                    Stationary Car @ 40m    PASS (Stopped)      9.403654             0.320282     True
53                                    Stationary Car @ 50m    PASS (Stopped)     11.138507             0.289585     True
54                                    Stationary Car @ 30m  FAIL (Collision)      4.651466             0.239163     True
55                                    Stationary Car @ 40m  FAIL (Collision)      4.577187             0.242992     True
56                                    Stationary Car @ 80m    PASS (Stopped)     10.659969             0.513837     True
57                                   Stationary Car @ 100m    PASS (Stopped)      5.942726             0.222112     True
58                                    Stationary Car @ 60m  FAIL (Collision)      4.465143             0.289625     True
59                                   Stationary Car @ 120m  FAIL (Collision)      4.640848             1.512273     True
60   Suicidal Homing Pedestrian (Trigger 40m, Stop @ 2.5m)    PASS (Stopped)      2.944852             1.965394     True
61   Suicidal Homing Pedestrian (Trigger 15m, Stop @ 2.5m)    PASS (Stopped)      2.785997             0.735454     True
62   Suicidal Homing Pedestrian (Trigger 25m, Stop @ 2.5m)    PASS (Timeout)      1.551789             0.843243    False
63                     Pedestrian Crossing (Trigger 12.0m)  FAIL (Collision)      2.096697             0.592918    False
64                     Pedestrian Crossing (Trigger 20.0m)    PASS (Timeout)      6.334829             0.219236    False
65                     Pedestrian Crossing (Trigger 10.0m)  FAIL (Collision)      2.308719             0.886505    False
66                     Pedestrian Crossing (Trigger 15.0m)    PASS (Timeout)      3.611516             0.218910    False
67                     Pedestrian Crossing (Trigger 17.0m)    PASS (Timeout)      4.962300             0.220896    False
68                   Obstructed Pedestrian (Trigger 10.0m)  FAIL (Collision)      1.451388             0.667386    False
69                   Obstructed Pedestrian (Trigger 12.0m)  FAIL (Collision)      1.478857             0.232668    False
70                   Obstructed Pedestrian (Trigger 15.0m)    PASS (Timeout)      2.805222             0.381520    False
71                   Obstructed Pedestrian (Trigger 18.0m)  FAIL (Collision)      1.525462             1.412454    False
72                  Oncoming Traffic (Offset 3.5m, 40km/h)    PASS (Timeout)      3.497959             0.535820    False
73                  Oncoming Traffic (Offset 3.5m, 60km/h)    PASS (Timeout)      3.542197             0.573051    False
